"country","EducationIndex_EducationIndex_2022","EducationalIndex2021","EducationIndex_EducationIndex_2020","EducationalIndex2019","EducationalIndex2018","EducationalIndex2017"
"India",0.57,0.554,0.54,0.555,0.553,0.558
"China",0.69,0.648,0.69,0.66,0.859,0.787
"United States",0.91,0.909,0.92,0.9,0.899,0.899
"Indonesia",0.68,0.667,0.67,0.65,0.642,0.637
"Pakistan",0.37,0.392,0.37,0.402,0.392,0.392
"Nigeria",0.55,0.521,0.53,0.499,0.488,0.484
"Brazil",0.71,0.703,0.71,0.694,0.689,0.689
"Bangladesh",0.58,0.591,0.58,0.529,0.524,0.513
"Russia",0.85,0.866,0.85,0.823,0.823,0.823
"Ethiopia",,0.376,,0.341,0.335,0.332
"Mexico",0.71,0.721,0.72,0.703,0.694,0.681
"Japan",0.85,0.869,0.86,0.851,0.85,0.848
"Egypt",0.69,0.703,0.69,0.618,0.609,0.605
"Philippines",0.66,0.664,0.65,0.678,0.667,0.665
"DR Congo",0.51,0.506,0.51,0.496,0.494,0.493
"Vietnam",0.65,,0.64,,,
"Iran",0.75,0.759,0.75,0.756,0.75,0.749
"Turkey",0.84,0.795,0.83,0.731,0.727,0.722
"Germany",0.96,0.942,0.95,0.943,0.943,0.94
"Thailand",0.73,0.732,0.73,0.682,0.675,0.665
"United Kingdom",0.94,0.927,0.92,0.948,0.938,0.933
"Tanzania",0.43,0.469,0.44,0.429,0.425,0.431
"France",0.83,0.826,0.83,0.817,0.812,0.811
"South Africa",0.78,0.758,0.74,0.724,0.721,0.718
"Italy",0.82,0.807,0.82,0.793,0.791,0.785
"Kenya",0.57,0.521,0.57,0.534,0.536,0.536
"Myanmar",0.55,0.516,0.55,0.464,0.458,0.452
"Colombia",0.7,0.697,0.7,0.682,0.678,0.678
"South Korea",0.88,0.875,0.88,0.865,0.865,0.865
"Sudan",0.37,0.346,0.37,0.345,0.339,0.337
"Uganda",0.53,0.471,0.53,0.523,0.515,0.507
"Spain",0.85,0.851,0.84,0.831,0.838,0.836
"Algeria",0.66,0.676,0.66,0.672,0.668,0.665
"Iraq",0.57,0.599,0.57,0.557,0.554,0.542
"Argentina",0.9,0.867,0.88,0.855,0.842,0.842
"Afghanistan",0.38,0.386,0.39,0.414,0.413,0.408
"Yemen",0.31,0.359,0.31,0.36,0.347,0.341
"Canada",0.91,0.916,0.91,0.894,0.893,0.889
"Poland",0.88,0.884,0.88,0.869,0.866,0.866
"Morocco",0.61,0.591,0.59,0.569,0.559,0.547
"Angola",0.62,0.519,0.53,0.5,0.5,0.498
"Ukraine",0.74,0.787,0.75,0.799,0.792,0.794
"Uzbekistan",0.73,0.744,0.73,0.729,0.726,0.724
"Malaysia",0.72,0.723,0.72,0.726,0.719,0.724
"Mozambique",0.43,0.39,0.43,0.395,0.389,0.385
"Ghana",0.54,0.61,0.53,0.563,0.558,0.555
"Peru",0.74,0.758,0.75,0.74,0.728,0.721
"Saudi Arabia",0.8,0.824,0.8,0.789,0.789,0.784
"Madagascar",0.41,0.451,0.41,0.486,0.489,0.494
"Ivory Coast",0.42,0.471,0.42,0.453,0.45,0.436
"Nepal",0.5,0.528,0.5,0.521,0.516,0.507
"Cameroon",0.59,0.571,0.59,0.547,0.546,0.543
"Venezuela",0.7,0.726,0.7,0.7,0.7,0.7
"Niger",0.24,0.264,0.24,0.249,0.247,0.245
"Australia",1.01,1.009,1.01,0.924,0.923,0.923
"Syria",0.4,0.426,0.4,0.416,0.416,0.416
"Mali",0.25,0.282,0.25,0.286,0.286,0.282
"Burkina Faso",0.3,0.323,0.32,0.312,0.3,0.298
"Sri Lanka",0.75,0.752,0.74,0.746,0.741,0.736
"Malawi",0.49,0.503,0.49,0.47,0.463,0.455
"Zambia",0.55,0.543,0.55,0.557,0.553,0.549
"Kazakhstan",0.82,0.849,0.83,0.84,0.822,0.817
"Chad",0.3,0.309,0.3,0.288,0.29,0.288
"Chile",0.84,0.827,0.82,0.81,0.805,0.804
"Romania",0.78,0.771,0.78,0.765,0.762,0.764
"Somalia",0.27,,,,,
"Senegal",0.35,0.347,0.35,0.345,0.356,0.354
"Guatemala",0.49,0.484,0.49,0.519,0.511,0.511
"Netherlands",0.94,0.939,0.93,0.914,0.912,0.909
"Ecuador",0.71,0.699,0.71,0.702,0.709,0.707
"Cambodia",0.5,0.489,0.49,0.484,0.476,0.476
"Zimbabwe",0.6,0.626,0.6,0.587,0.57,0.568
"Guinea",0.36,0.346,0.36,0.354,0.35,0.348
"Benin",0.39,0.443,0.39,0.478,0.476,0.472
"Rwanda",0.48,0.458,0.47,0.458,0.462,0.462
"Burundi",0.39,0.401,0.39,0.417,0.412,0.422
"Bolivia",0.74,0.741,0.74,0.695,0.69,0.686
"Tunisia",0.67,0.674,0.67,0.661,0.659,0.653
"South Sudan",0.35,0.343,0.35,0.307,0.309,0.309
"Haiti",0.5,0.456,0.5,0.456,0.45,0.445
"Belgium",0.94,0.958,0.95,0.902,0.9,0.9
"Jordan",0.7,0.641,0.7,0.667,0.664,0.662
"Dominican Republic",0.68,0.713,0.7,0.666,0.66,0.657
"United Arab Emirates",0.9,0.859,0.9,0.802,0.802,0.783
"Cuba",0.75,0.817,0.75,0.79,0.783,0.776
"Honduras",0.52,0.517,0.52,0.499,0.499,0.496
"Czech Republic",0.88,0.88,0.88,0.89,0.89,0.89
"Sweden",0.94,0.959,0.94,0.918,0.914,0.914
"Tajikistan",0.68,0.702,0.68,0.682,0.673,0.67
"Papua New Guinea",0.47,0.446,0.47,0.439,0.432,0.43
"Portugal",0.79,0.789,0.78,0.768,0.763,0.763
"Azerbaijan",0.71,0.725,0.7,0.711,0.711,0.713
"Greece",0.94,0.936,0.93,0.849,0.833,0.833
"Hungary",0.83,0.823,0.83,0.821,0.819,0.816
"Togo",0.55,0.528,0.55,0.517,0.51,0.507
"Israel",0.86,0.891,0.86,0.883,0.881,0.879
"Austria",0.87,0.854,0.86,0.865,0.866,0.865
"Belarus",0.8,0.826,0.8,0.838,0.843,0.842
"Switzerland",0.92,0.922,0.92,0.9,0.9,0.888
"Sierra Leone",0.37,0.42,0.37,0.406,0.403,0.399
"Laos",0.48,0.461,0.48,0.481,0.479,0.483
"Turkmenistan",0.74,0.743,0.72,0.653,0.645,0.628
"Hong Kong",0.9,0.887,0.9,0.88,0.871,0.863
"Libya",0.65,0.612,0.65,0.61,0.607,0.607
"Kyrgyzstan",0.76,0.747,0.75,0.73,0.723,0.724
"Paraguay",0.68,0.658,0.68,0.638,0.635,0.634
"Nicaragua",0.59,0.587,0.59,0.573,0.566,0.566
"Bulgaria",0.77,0.766,0.77,0.779,0.779,0.785
"Serbia",0.79,0.78,0.79,0.783,0.783,0.778
"El Salvador",0.57,0.593,0.61,0.555,0.553,0.562
"Republic of the Congo",0.62,0.548,0.62,0.543,0.539,0.539
"Denmark",0.96,0.953,0.95,0.92,0.921,0.919
"Singapore",0.87,0.855,0.86,0.924,0.921,0.913
"Lebanon",0.62,0.604,0.62,0.604,0.604,0.604
"Finland",0.96,0.961,0.96,0.927,0.927,0.926
"Liberia",0.47,0.459,0.47,0.426,0.422,0.422
"Norway",0.95,0.939,0.94,0.93,0.928,0.926
"Slovakia",0.84,0.833,0.84,0.826,0.824,0.824
"Palestine",0.7,0.702,0.7,0.678,0.676,0.675
"Central African Republic",0.34,0.366,0.33,0.353,0.353,0.352
"Oman",0.76,0.796,0.76,0.718,0.718,0.731
"Ireland",0.92,0.912,0.91,0.922,0.918,0.918
"New Zealand",0.98,0.994,0.96,0.926,0.923,0.923
"Mauritania",0.39,0.424,0.38,0.396,0.392,0.389
"Costa Rica",0.74,0.752,0.74,0.726,0.724,0.717
"Kuwait",0.68,0.668,0.68,0.638,0.638,0.635
"Panama",0.72,0.714,0.72,0.7,0.697,0.697
"Croatia",0.84,0.826,0.84,0.805,0.803,0.802
"Georgia",0.89,0.86,0.88,0.862,0.851,0.845
"Eritrea",0.37,0.388,0.89,0.269,0.269,0.269
"Mongolia",0.72,0.73,0.72,0.736,0.734,0.733
"Uruguay",0.79,0.767,0.76,0.765,0.763,0.759
"Bosnia and Herzegovina",0.72,0.733,0.72,0.711,0.71,0.708
"Qatar",0.71,0.683,0.71,0.659,0.653,0.662
"Moldova",0.81,0.793,0.8,0.711,0.708,0.708
"Namibia",0.57,0.571,0.57,0.584,0.582,0.581
"Armenia",0.78,0.741,0.77,0.74,0.74,0.739
"Lithuania",0.91,0.903,0.9,0.898,0.89,0.89
"Jamaica",0.65,0.679,0.65,0.689,0.691,0.692
"Albania",0.74,0.777,0.75,0.746,0.743,0.747
"Gambia",0.4,0.414,0.4,0.406,0.39,0.381
"Gabon",0.66,0.674,0.66,0.65,0.639,0.633
"Botswana",0.66,0.685,0.67,0.676,0.666,0.664
"Lesotho",0.56,0.533,0.56,0.532,0.528,0.525
"Guinea-Bissau",0.42,0.414,0.41,0.414,0.402,0.402
"Slovenia",0.91,0.918,0.91,0.91,0.899,0.893
"Equatorial Guinea",0.61,0.466,0.37,0.467,0.441,0.441
"Latvia",0.9,0.893,0.9,0.883,0.883,0.876
"North Macedonia",0.7,0.718,0.7,0.704,0.702,0.697
"Bahrain",0.82,0.819,0.82,0.769,0.765,0.77
"Trinidad and Tobago",0.78,0.789,0.78,0.728,0.728,0.728
"Timor-Leste",0.57,0.53,0.57,0.51,0.496,0.496
"Estonia",0.89,0.892,0.61,0.882,0.882,0.881
"Cyprus",0.86,0.847,0.87,0.827,0.827,0.813
"Mauritius",0.74,0.769,0.74,0.736,0.733,0.73
"Eswatini",0.6,0.567,0.36,0.557,0.553,0.545
"Djibouti",0.35,0.342,0.35,0.325,0.322,0.316
"Fiji",0.73,0.772,0.73,0.764,0.764,0.762
"Comoros",0.57,0.501,0.57,0.482,0.479,0.476
"Guyana",0.65,0.634,0.65,0.601,0.602,0.601
"Solomon Islands",0.56,0.476,0.48,0.474,0.469,0.469
"Bhutan",0.56,0.54,0.56,0.496,0.494,0.491
"Luxembourg",0.83,0.833,0.83,0.806,0.802,0.802
"Montenegro",0.84,0.826,0.84,0.803,0.801,0.796
"Suriname",0.59,0.688,0.58,0.675,0.661,0.661
"Malta",0.85,0.873,0.84,0.825,0.824,0.816
"Maldives",0.6,0.593,0.6,0.573,0.564,0.564
"Cape Verde",0.52,0.56,0.52,0.562,0.566,0.565
"Brunei",0.69,0.696,0.69,0.702,0.703,0.704
"Belize",0.64,0.654,0.66,0.695,0.691,0.691
"Bahamas",0.75,0.778,0.75,0.74,0.737,0.736
"Iceland",0.99,0.993,0.97,0.926,0.918,0.912
"Vanuatu",0.57,0.556,0.57,0.561,0.545,0.542
"Barbados",0.79,0.766,0.79,0.782,0.773,0.773
"Sao Tome and Principe",0.55,0.579,0.55,0.567,0.567,0.557
"Samoa",0.72,0.724,0.72,0.713,0.701,0.701
"Saint Lucia",0.64,0.642,0.64,0.672,0.673,0.681
"Kiribati",0.63,0.594,0.63,0.594,0.59,0.59
"Seychelles",0.76,0.729,0.74,0.726,0.715,0.718
"Grenada",0.79,0.819,0.79,0.77,0.755,0.75
"Micronesia",0.59,,0.59,,,
"Tonga",0.82,0.824,0.82,0.775,0.771,0.77
"Saint Vincent and the Grenadines",0.82,0.768,0.82,0.684,0.68,0.679
"Antigua and Barbuda",0.78,0.704,0.78,0.665,0.656,0.655
"Andorra",0.74,0.723,0.71,0.72,0.72,0.713
"Dominica",0.68,0.639,0.68,0.632,0.63,0.629
"Saint Kitts and Nevis",0.87,0.718,0.87,0.673,0.661,0.658
"Liechtenstein",0.84,0.839,0.84,0.832,0.832,0.827
"Marshall Islands",0.88,0.647,0.87,0.707,0.707,0.707
"San Marino",0.69,0.702,0.7,,,
"Palau",0.91,0.856,0.91,0.855,0.848,0.853
"Nauru",0.66,,0.66,,,
"Tuvalu",0.69,0.614,0.66,,,